AERONET_Database_Site_List,Num=2,Date_Generated=20:10:2016
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters)
Nauru,166.915900,-0.520600,7.000000
Shelton,-98.760286,40.750064,563.000000
Creteil,2.442783,48.788500,57.000000
Mont_Joli,-68.156000,48.640000,30.000000
Marina,-121.808717,36.808717,15.000000
Gotland,18.950000,57.916667,10.000000
Konza,-96.559667,39.082500,457.000000
Sopot,18.564722,54.450833,0.000000
Clermont_Ferrand,2.961944,45.760000,1464.000000
Palaiseau,2.208333,48.700000,156.000000
Saclay,2.166660,48.733330,160.000000
Paris,2.333333,48.866667,50.000000
Toulouse,1.373889,43.574722,150.000000
TOULOUSE,1.476389,43.561944,150.000000
Moldova,28.815600,47.000100,205.000000
MD_Science_Center,-76.616667,39.283333,15.000000
GOA_INDIA,73.806111,15.452500,20.000000
Dharwar,74.988611,15.428611,700.000000
Aguas_Emendadas,-47.656300,-15.581750,1100.000000
Belterra,-54.951650,-2.648483,70.000000
Balbina,-59.486800,-1.916983,80.000000
CEILAP-BA,-58.500000,-34.566667,10.000000
Anmyon,126.330194,36.538537,47.000000
Katibougou,-7.532000,12.916667,0.000000
Cordoba-CETT,-64.463682,-31.524075,730.000000
Dead_Sea,35.450000,31.100000,-410.000000
COVE,-75.710000,36.900000,37.000000
China_Lake,-117.744533,35.674100,800.000000
Tremiti,15.490115,42.117965,4.000000
IMS-METU-ERDEMLI,34.255000,36.565000,3.000000
Avignon,4.878067,43.932750,32.000000
Mammoth_Lake,-119.033333,37.616667,2930.000000
Rogers_Dry_Lake,-117.885000,34.925550,680.000000
Stennis,-89.616667,30.368014,20.000000
El_Arenosillo,-6.733472,37.105000,0.000000
UCLA,-118.450000,34.070000,131.000000
Nes_Ziona,34.789167,31.922500,40.000000
Maricopa,-111.972298,33.069023,360.000000
Inhaca,32.905000,-26.040583,73.500000
Kyiv,30.496667,50.363611,200.000000
Churchill,-93.818167,58.736000,10.000000
IMC_Oristano,8.500000,39.910000,10.000000
Azores,-28.630000,38.530000,50.000000
Hamburg,9.973333,53.568333,105.000000
KONZA_EDC,-96.609600,39.102328,341.000000
Roosevelt_Roads,-65.600000,18.200000,10.000000
Puerto_Madryn,-65.010000,-42.790000,15.000000
Modena,10.945278,44.631667,56.000000
La_Parguera,-67.045383,17.970450,12.400000
Rio_Branco,-67.869350,-9.957467,212.000000
Lampedusa,12.631667,35.516667,45.000000
Maun_Tower,23.550000,-19.900000,940.000000
Ndola,28.658333,-12.995000,1270.000000
Solwezi,26.363333,-12.170667,1333.000000
Cairo_University,31.207317,30.026167,50.000000
Sua_Pan,26.066667,-20.533333,900.000000
Swakopmund,14.564033,-22.657850,250.000000
GISS,-73.959900,40.797700,50.000000
Etosha_Pan,15.914383,-19.175017,1131.000000
Mwinilunga,24.430667,-11.740000,1430.000000
Pietersburg,29.450000,-23.883333,1200.000000
Kaoma,24.794833,-14.792667,1179.000000
SKUKUZA_AEROPORT,31.593000,-24.969000,293.000000
Osaka,135.590633,34.650933,50.000000
Bucarest,26.525000,44.450000,44.000000
Shirahama,135.356917,33.693450,10.000000
BSRN_BAO_Boulder,-105.006033,40.045183,1604.000000
Kanpur,80.231639,26.512778,123.000000
Midway_Island,-177.378333,28.209833,20.000000
Billerica,-71.268619,42.528347,82.000000
Moscow_MSU_MO,37.510000,55.700000,192.000000
Minsk,27.601000,53.920000,200.000000
Beijing,116.381370,39.976890,92.000000
NUIST,118.717150,32.206483,62.000000
Ningbo,121.546872,29.859945,37.000000
Qiandaohu,119.052633,29.555717,133.000000
Shanghi_Met,121.548517,31.221383,5.000000
Shanghi_Minhang,121.397340,31.130450,49.000000
Perth,115.893611,-32.008056,0.000000
Kelowna,-119.373000,49.955333,344.000000
CEILAP-UTN,-58.468611,-34.659722,27.000000
New_Delhi,77.175100,28.630467,240.000000
Okinawa,127.768333,26.356667,46.000000
Kuopio,27.633606,62.892414,105.000000
Agoufou,-1.479117,15.345400,305.000000
Sao_Paulo,-46.734983,-23.561500,865.000000
MPI_Mainz,8.237500,49.992000,147.000000
Seoul_SNU,126.951111,37.458056,116.000000
Angiola,-119.538000,35.947000,210.000000
Gerlitzen,13.906667,46.678333,1900.000000
Al_Dhafra,54.549667,24.254278,40.000000
SteamboatSpring,-106.807117,40.404867,2120.000000
Rome_Tor_Vergata,12.647333,41.839550,130.000000
SMHI,16.150000,58.580000,0.000000
Rottnest_Island,115.501667,-32.000103,70.000000
THALA,8.683333,35.550000,1091.000000
Gosan_SNU,126.161667,33.292222,72.000000
CUIABA-MIRANDA,-56.020800,-15.729500,210.000000
XiangHe,116.961500,39.753600,36.000000
Orizaba,-97.324167,19.106111,3246.000000
Dunhuang,94.794000,40.038380,1300.000000
Bragansa,-46.641000,-0.834000,55.000000
Noto,137.136944,37.334444,200.000000
Leipzig,12.435278,51.352500,125.000000
Inner_Mongolia,115.953700,42.683190,1343.000000
Lan_Yu_Island,121.558111,22.037306,348.000000
Yulin,109.716667,38.283333,1080.000000
BORDEAUX,-0.579167,44.788028,40.000000
Marseille,5.383817,43.282400,100.000000
Realtor,5.383817,43.485550,208.000000
Vinon,5.758650,43.709233,304.000000
Railroad_Valley,-115.962000,38.504000,1435.000000
Wan-Li,121.580900,25.294450,93.300000
Oostende,2.925000,51.225000,23.000000
Homburi,-1.546667,15.329167,280.000000
Philadelphia,-75.004667,40.035667,20.000000
Davos,9.843800,46.812917,1596.000000
Penn_State_Univ,-78.080900,40.742100,401.000000
Lochiel,-122.602000,49.028000,0.000000
Santiago,-70.717033,-33.489633,510.000000
Rochester,-77.586400,44.233700,0.000000
Big_Meadows,-78.436111,38.521944,1082.000000
Tarbes,0.083333,43.250000,350.000000
Biarritz,-1.550000,43.483333,0.000000
Pic_du_midi,0.141300,42.937217,2898.000000
CCNY,-73.949036,40.821313,100.000000
The_Hague,4.326820,52.110480,18.000000
Columbia_SC,-81.036333,34.022803,104.200000
Jabiru,132.893100,-12.660700,30.000000
