,Facility Name,orispl_code,Gross Load (MW-h),EPA Region,latitude,longitude,State,County,timezone,time_offset
424,Joppa Steam,887,7000739.37,5,37.2103,-88.8606,IL,Massac,America/Chicago,6.0
425,Kendall Energy Facility,55131,4950614.6,5,41.4797,-88.2581,IL,Kendall,America/Chicago,6.0
426,Kincaid Generating Station,876,5652303.81,5,39.5906,-89.4964,IL,Christian,America/Chicago,6.0
427,Kinmundy Power Plant,55204,17816.3,5,38.7619,-89.0128,IL,Marion,America/Chicago,6.0
428,"LSP University Park, LLC",55640,162209.72,5,41.4426,-87.7515,IL,Will,America/Chicago,6.0
429,Lemont Refinery,880076,,5,41.6439,-88.0467,IL,Will,America/Chicago,6.0
430,Lincoln Generating Facility,55222,58253.61,5,41.3937,-87.9437,IL,Will,America/Chicago,6.0
431,MEPI GT Facility,7858,21635.95,5,37.2175,-88.8658,IL,Massac,America/Chicago,6.0
432,Marathon Petroleum Company LP,880088,,5,39.0,-87.7222,IL,Crawford,America/Chicago,6.0
433,Marion,976,1902218.31,5,37.6206,-88.955,IL,Williamson,America/Chicago,6.0
434,"Morris Cogeneration, LLC",55216,278018.47,5,41.4092,-88.3292,IL,Grundy,America/Chicago,6.0
435,Newton,6017,5898531.66,5,38.9361,-88.2778,IL,Jasper,America/Chicago,6.0
436,"Pacific Ethanol Pekin, Inc.",880086,,5,40.555,-89.6628,IL,Tazewell,America/Chicago,6.0
437,Pinckneyville Power Plant,55202,100081.07,5,38.1114,-89.3467,IL,Perry,America/Chicago,6.0
438,Powerton,879,8821734.75,5,40.5408,-89.6786,IL,Tazewell,America/Chicago,6.0
439,Prairie State Generating Station,55856,4809965.43,5,38.2792,-89.667,IL,Washington,America/Chicago,6.0
440,Raccoon Creek Power Plant,55417,20899.53,5,38.6996,-88.5392,IL,Clay,America/Chicago,6.0
441,Rockford Energy Center,55238,48143.1,5,42.2403,-89.1025,IL,Winnebago,America/Chicago,6.0
442,Rockford II Energy Center,55936,39157.93,5,42.2383,-89.1014,IL,Winnebago,America/Chicago,6.0
443,"Rocky Road Power, LLC",55109,98935.58,5,42.0931,-88.2397,IL,Kane,America/Chicago,6.0
444,Shelby County,55237,52930.86,5,39.2794,-88.4772,IL,Shelby,America/Chicago,6.0
445,Southeast Chicago Energy Project,55281,31893.79,5,41.7181,-87.5449,IL,Cook,America/Chicago,6.0
446,Tate & Lyle,10867,,5,39.8466,-88.9261,IL,Macon,America/Chicago,6.0
447,Tilton Power Station,7760,118941.93,5,40.1063,-87.6539,IL,Vermilion,America/Chicago,6.0
448,Tuscola Plant,55245,,5,39.7983,-88.3501,IL,Douglas,America/Chicago,6.0
449,University Park Energy,55250,132660.0,5,41.4405,-87.7528,IL,Will,America/Chicago,6.0
450,Venice,913,186908.49,5,38.6642,-90.1764,IL,Madison,America/Chicago,6.0
451,Waukegan,883,3596551.75,5,42.3833,-87.8133,IL,Lake,America/Chicago,6.0
452,Will County,884,3477332.0,5,41.6334,-88.0626,IL,Will,America/Chicago,6.0
453,Wood River Power Station,898,2933949.07,5,38.8639,-90.1325,IL,Madison,America/Chicago,6.0
454,Wood River Refinery,880067,,5,38.8375,-90.0675,IL,Madison,America/Chicago,6.0
455,Zion Energy Center,55392,135635.54,5,42.4776,-87.895,IL,Lake,America/Chicago,6.0
